Date,Artist,Song Name,Song Korean Name,Song Type
4/29/2019,GeeGu,Moonlight,,Major
4/26/2019,Destiny,Medusa,메두사,Major
4/24/2019,Grow.B,Let It,그로우비 렛잇,Major
4/22/2019,Twice,Fancy,팬시,Major
4/19/2019,Apink,Everybody Ready?,,Special
4/15/2019,Hashtag,Freesm,,Major
4/15/2019,Hi Cutie,Don't Stop Your Dreams,너의 꿈을 멈추지마,Minor
4/11/2019,BVNDIT,Hocus Pocus,,Major
4/11/2019,(G)I-dle,Help Me,,Minor
4/9/2019,Gavy NJ,Nothing Better Than You,없더라,Major
4/8/2019,Camila,Take Me Home,,Major
4/8/2019,Girl Crush,Memories,,Major
4/4/2019,Blackpink,Kill This Love,킬디스러브,Major
4/3/2019,Momoland,Banana Chacha,,Minor
4/2/2019,Bolbbalgan4,Bom,"나만, 봄",Major
4/1/2019,Iz*One,Violeta,비올레타,Major
4/1/2019,Neonpunch,Like It,,Minor
3/28/2019,Badkiz,TMI (as Hot Place),,Major
3/27/2019,GFriend,Cheers (Zzan),짠,Minor
3/25/2019,PinkFantasy Shy,12 o'clock,,Major
3/20/2019,Momoland,I'm So Hot,,Major
3/20/2019,High School,High Class,하이클래스,Major
3/20/2019,GWSN,Growing~ For Groo,,Minor
3/19/2019,Dia,Woowa,우와,Major
3/18/2019,Shafla,You’ve changed,요즘 너 달라,Major
3/18/2019,Everglow,Bon Bon Chocolat,봉봉쇼콜라,Major
3/14/2019,Mamamoo,gogobebe,고고베베,Major
3/13/2019,GWSN,Pinky Star (RUN),핑키스타,Major
3/12/2019,Dreamnote,Hakuna Matata,하쿠나 마타타,Major
3/11/2019,Dreamcatcher,Piri (Japanese ver.),笛を吹け,Japanese
3/10/2019,4Carat,Nanly,난리,Major
3/9/2019,Hi Cutie,White Day,화이트데이,Special
3/6/2019,S.I.S,Always Be Your Girl,너의 소녀가 되어줄게,Major
3/5/2019,Dreamcatcher,And There Was Noone Left,그리고 아무도 없었다,Special
3/3/2019,GFRIEND,Flower,,Japanese
2/28/2019,Vitamin,Here We Are,우린 할 수 있어,Minor
2/26/2019,(G)I-dle,Senorita,세뇨리따,Major
2/25/2019,A Train To Autumn,Farewell Again,다시 이별,Major
2/21/2019,Zgirls,What You Waiting For,,Major
2/19/2019,Wanna.B,Leggo,,Major
2/19/2019,The Pink Lady,God Girl,,Major
2/19/2019,LOONA,Butterfly,,Major
2/19/2019,(G)I-dle,Blow Your Mind,,Minor
2/13/2019,Dreamcatcher,Piri,피리,Major
2/13/2019,Saturday,Wifi,와이파이,Major
2/13/2019,9Muses,Remember,,Special
2/10/2019,ITZY,DALLA DALLA,달라달라,Major
2/8/2019,Pierce,Shadow,그림자,Major
2/7/2019,Twice,What is Love? -Japanese ver.-,,Japanese
2/4/2019,Mamamoo,Wind flower -Japanese ver.-,,Japanese
1/31/2019,Hi Cutie,Valentine's Day,발렌타인데이,Special
1/30/2019,CLC,No,노,Major
1/29/2019,NeonPunch,TicToc,,Major
1/28/2019,CoCo,TalkTalk,톡톡,Major
1/24/2019,IZ*ONE,Suki to Iwasetai,,Japanese
1/21/2019,Cherry Bullet,Q&A,큐앤에이,Major
1/16/2019,April,Oh-eh-oh,,Japanese
1/15/2019,Nature,Dream About U,꿈꿨어,Major
1/15/2019,Favorite,Loca,,Major
1/14/2019,GFRIEND,Sunrise,해야,Major
1/10/2019,Twice,Likey,,Japanese
1/9/2019,G-reyish,Candy,캔디,Major
1/9/2019,Luna,Bye Bye,안녕 이대로 안녕,Minor
1/8/2019,WJSN,La La Love,라 라 러브,Major
1/8/2019,Dreamcatcher,July 7th,약속해 우리,Special
1/7/2019,Apink,Eung Eung,응응,Major
1/5/2019,Red Velvet,Sappy,,Japanese
1/2/2019,Dreamnote,I Like You,좋아하나봐,Special
12/30/2018,Cherry On Top,May Be,어쩌면,Major
12/20/2018,"Chic Angel, Cupid",Sea,바다,Major
12/17/2018,Saturday,In Your Eyes,,Minor
12/16/2018,Berry Good,This Winter,이 겨울에,Special
12/12/2018,Twice,The Best Thing I Ever Did,올해 제일 잘한 일,Major
12/11/2018,Oh My Girl,Remember Me,,Japanese
12/11/2018,Ladies Code,The Last Holiday,,Special
12/5/2018,Laboum,Turn It On,불을 켜,Major
11/30/2018,Red Velvet,Really Bad Boy,,Major
11/29/2018,Mamamoo,Wind Flower,,Major
11/26/2018,Lovelyz,Lost N Found,찾아가세요,Major
11/26/2018,FLAVOR,Milkshake,,Major
11/21/2018,Nature,You'll Be Mine,썸,Major
11/21/2018,EXID,I Love You,알러뷰,Major
11/16/2018,Aqua,Log In,,Major
11/15/2018,Maywish,Hello,,Major
11/14/2018,Dreamcatcher,What,,Japanese
11/8/2018,H.U.B,Finale,피날레,Major
11/7/2018,DreamNote,Dream Note,드림노트,Major
11/6/2018,gugudan,Not That Type,,Major
11/5/2018,Twice,Yes or Yes,,Major
11/5/2018,A Train To Autumn,That Season You Were In,네가 있던 계절,Major
11/2/2018,Dreamcatcher,Wonderland,,Minor
10/30/2018,Pink Fantasy,Iriwa,이리와,Major
10/29/2018,Pierce,Galaxy,,Major
10/29/2018,IZ*ONE,La Vie en Rose,라비앙로즈,Major
10/29/2018,HeyGirls,Yoo Hoo Hoo,유후후,Major
10/27/2018,Abry,Over & Gone,,Major
10/17/2018,Shafla,DDu-Ru-DDu-PPa-Ra-Ppa,뚜루뚜 빠라빠,Major
